ean,nombre,marca,kcal_100g,proteina_100g,hidratos_100g,grasas_100g,rol_principal,grupo_mediterraneo,frecuencia_mediterranea,permitido_comidas,categorias,,,
8480000823021,Pan de molde con 52% centeno,Hacendado,265.0,10.0,35.0,7.8,hidrato,cereal_integral,frecuente,"desayuno,media_manana,almuerzo,merienda,cena","alimentos-y-bebidas-de-origen-vegetal, alimentos-de-origen-vegetal, cereales-y-patatas, panes, panes-de-molde, es:panes, es:panes-de-molde, es:panes-especiales",,,
8402001009648,María 100% Integral,"Hacendado, Siro",410.0,8.7,66.0,10.0,hidrato,dulce,ocasional,"desayuno,media_manana,almuerzo,merienda,cena,postre","Lanches comida,Lanches doces,Biscoitos e Bolos,en:Biscuits and crackers,Biscoitos,es:Galletas maría",,,
8480000512239,Queso untar light,Hacendado,130.0,9.0,4.8,8.3,"proteina,grasa",queso_curado,moderada,"media_manana,almuerzo,merienda,cena","Lácteos,Comidas fermentadas,Productos fermentados de la leche,Desayunos,Quesos,Untables,Untables salados,Untables dulces,fr:Pâtes à tartiner,Quesos para untar",,,
8480000094742,Granola baja en azúcares,Hacendado,477.0,13.6,50.2,22.7,hidrato,dulce,ocasional,"desayuno,media_manana,almuerzo,merienda,cena,postre","Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Desayunos,Cereales y patatas,Cereales y derivados,Cereales para el desayuno,Muesli",,,
8480000125248,Chocolate negro 0% azúcares añadidos 85% cacao,Hacendado,571.0,11.0,22.0,49.0,grasa,dulce,ocasional,"desayuno,media_manana,almuerzo,merienda,cena,postre","Snacks,Sweet snacks,Cocoa and its products,Chocolates,Chocolates with sweeteners,Dark chocolates,Dark chocolates with sweeteners",,,
8480000205124,Yogur estilo griego natural,Hacendado,129.0,3.9,3.9,10.8,grasa,lacteo,regular,"desayuno,media_manana,merienda,postre","Lácteos,Comidas fermentadas,Productos fermentados de la leche,Postres,Postres lácteos,en:Fermented dairy desserts,Yogures,en:Plain fermented dairy desserts,Yogures naturales,Yogures estilo griego",,,
8480000141583,Tortitas de maíz,Hacendado,367.0,7.67,80.0,1.67,hidrato,pan_cereal,variable,"desayuno,media_manana,almuerzo,merienda,cena","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Puffed cereal cakes,Puffed corn cakes",,,
8480000135025,María dorada 0%,Hacendado,445.0,6.9,68.0,18.0,hidrato,dulce,ocasional,"desayuno,media_manana,almuerzo,merienda,cena,postre","Botanas,Snacks dulces,Galletas y pasteles,Galletas,Galletas maría",,,
8480000156044,Gazpacho Tradicional,Hacendado,41.0,0.8,3.6,2.6,hidrato,verdura,frecuente,"almuerzo,cena","Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Comidas preparadas, Sopas, Sopas de verduras y hortalizas, Sopas frías, Gazpachos",,,
8480000861672,Bebida de Avena Calcio y Vitaminas,Hacendado,52.0,0.5,6.8,2.5,hidrato,lacteo,regular,"desayuno,media_manana,merienda,postre","Bebidas y preparaciones de bebidas,Alimentos y bebidas de origen vegetal,Bebidas,Alimentos de origen vegetal,Cereales y patatas,en:Dairy substitutes,Cereales y derivados,Sustitutos de la leche,Bebidas de origen vegetal,Bebidas vegetales,Bebidas de cereales,Bebidas de avena",,,
